Number of measurement points: 603
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0107699963264167	-1.66541915363632
1	0.1	-0.00690098037011921	-1.66541915363632
2	0.2	-0.00561130838468671	-1.66541915363632
3	0.3	-0.00561130838468671	-1.66541915363632
4	0.4	-0.00561130838468671	-1.66541915363632
5	0.5	-0.00561130838468671	-1.66412948165089
6	0.6	-0.00561130838468671	-1.66541915363632
7	0.7	-0.00561130838468671	-1.66541915363632
8	0.8	-0.00561130838468671	-1.66541915363632
9	0.9	-0.00561130838468671	-1.66541915363632
10	1	-0.00690098037011921	-1.66541915363632
11	1.1	-0.00561130838468671	-1.66670882562175
12	1.2	-0.00690098037011921	-1.66541915363632
13	1.3	-0.00561130838468671	-1.66541915363632
14	1.4	-0.00690098037011921	-1.66541915363632
15	1.5	-0.00690098037011921	-1.66541915363632
16	1.6	-0.00561130838468671	-1.66541915363632
17	1.7	-0.00561130838468671	-1.66541915363632
18	1.8	-0.00561130838468671	-1.66670882562175
19	1.9	-0.00561130838468671	-1.66670882562175
20	2	-0.00561130838468671	-1.66670882562175
21	2.1	-0.00561130838468671	-1.66541915363632
22	2.2	-0.00561130838468671	-1.66541915363632
23	2.3	-0.00561130838468671	-1.66541915363632
24	2.4	-0.00690098037011921	-1.66670882562175
25	2.5	-0.00561130838468671	-1.66670882562175
26	2.6	-0.00561130838468671	-1.66541915363632
27	2.7	-0.00690098037011921	-1.66541915363632
28	2.8	-0.00561130838468671	-1.66541915363632
29	2.9	-0.00690098037011921	-1.66283980966546
30	3	-0.00561130838468671	-1.66026046569459
31	3.1	-0.00690098037011921	-1.65639144973829
32	3.2	-0.00690098037011921	-1.65123276179656
33	3.3	-0.00819065235555172	-1.64736374584027
34	3.4	-0.00819065235555172	-1.64220505789854
35	3.5	-0.00948032434098423	-1.63704636995681
36	3.6	-0.00948032434098423	-1.63188768201508
37	3.7	-0.0107699963264167	-1.62672899407335
38	3.8	-0.00948032434098423	-1.62157030613162
39	3.9	-0.00819065235555172	-1.61770129017532
40	4	-0.0107699963264167	-1.61254260223359
41	4.1	-0.00819065235555172	-1.60609424230643
42	4.2	-0.00948032434098423	-1.6009355543647
43	4.3	-0.00690098037011921	-1.59577686642297
44	4.4	-0.00819065235555172	-1.5893285064958
45	4.5	-0.00819065235555172	-1.58288014656864
46	4.6	-0.00690098037011921	-1.57643178664148
47	4.7	-0.00561130838468671	-1.56998342671432
48	4.8	-0.00561130838468671	-1.56482473877259
49	4.9	-0.00561130838468671	-1.55966605083086
50	5	-0.00561130838468671	-1.55321769090369
51	5.1	-0.00561130838468671	-1.54805900296196
52	5.2	-0.00690098037011921	-1.5416106430348
53	5.3	-0.00690098037011921	-1.53516228310764
54	5.4	-0.00819065235555172	-1.52871392318048
55	5.5	-0.00819065235555172	-1.52226556325331
56	5.6	-0.0107699963264167	-1.51452753134072
57	5.7	-0.00819065235555172	-1.50936884339899
58	5.8	-0.0107699963264167	-1.50163081148639
59	5.9	-0.0120596683118492	-1.49647212354466
60	6	-0.00948032434098423	-1.48873409163207
61	6.1	-0.0107699963264167	-1.48357540369034
62	6.2	-0.00948032434098423	-1.47712704376318
63	6.3	-0.0107699963264167	-1.47067868383601
64	6.4	-0.00819065235555172	-1.46423032390885
65	6.5	-0.00819065235555172	-1.45778196398169
66	6.6	-0.00690098037011921	-1.45133360405453
67	6.7	-0.00819065235555172	-1.44488524412736
68	6.8	-0.00690098037011921	-1.43972655618563
69	6.9	-0.00690098037011921	-1.43327819625847
70	7	-0.00561130838468671	-1.42554016434588
71	7.1	-0.00690098037011921	-1.41909180441871
72	7.2	-0.00690098037011921	-1.41264344449155
73	7.3	-0.00690098037011921	-1.40619508456439
74	7.4	-0.00819065235555172	-1.39845705265179
75	7.5	-0.00819065235555172	-1.39329836471006
76	7.6	-0.00948032434098423	-1.3868500047829
77	7.7	-0.00948032434098423	-1.38040164485574
78	7.8	-0.00948032434098423	-1.37395328492858
79	7.9	-0.0120596683118492	-1.36750492500141
80	8	-0.00948032434098423	-1.36105656507425
81	8.1	-0.0133493402972817	-1.35331853316166
82	8.2	-0.00948032434098423	-1.34687017323449
83	8.3	-0.0133493402972817	-1.34042181330733
84	8.4	-0.0107699963264167	-1.33397345338017
85	8.5	-0.00948032434098423	-1.32623542146757
86	8.6	-0.00948032434098423	-1.31978706154041
87	8.7	-0.00819065235555172	-1.31333870161325
88	8.8	-0.00819065235555172	-1.30689034168608
89	8.9	-0.00690098037011921	-1.30044198175892
90	9	-0.00690098037011921	-1.29270394984633
91	9.1	-0.00690098037011921	-1.28625558991916
92	9.2	-0.00561130838468671	-1.28109690197743
93	9.3	-0.00561130838468671	-1.27335887006484
94	9.4	-0.00690098037011921	-1.26691051013768
95	9.5	-0.00690098037011921	-1.26046215021051
96	9.6	-0.00948032434098423	-1.25401379028335
97	9.7	-0.00948032434098423	-1.24627575837076
98	9.8	-0.0120596683118492	-1.23853772645816
99	9.9	-0.0133493402972817	-1.232089366531
100	10	-0.0120596683118492	-1.2243513346184
101	10.1	-0.0146390122827142	-1.21661330270581
102	10.2	-0.0120596683118492	-1.20887527079321
103	10.3	-0.0146390122827142	-1.20113723888062
104	10.4	-0.0107699963264167	-1.19339920696802
105	10.5	-0.0120596683118492	-1.18566117505543
106	10.6	-0.00819065235555172	-1.17792314314283
107	10.7	-0.00690098037011921	-1.17018511123024
108	10.8	-0.00690098037011921	-1.16373675130308
109	10.9	-0.00561130838468671	-1.15599871939048
110	11	-0.00561130838468671	-1.14955035946332
111	11.1	-0.00561130838468671	-1.14181232755072
112	11.2	-0.00690098037011921	-1.13407429563813
113	11.3	-0.00819065235555172	-1.12633626372553
114	11.4	-0.00948032434098423	-1.11859823181294
115	11.5	-0.00948032434098423	-1.11214987188578
116	11.6	-0.0120596683118492	-1.10312216798775
117	11.7	-0.0107699963264167	-1.09667380806059
