Number of measurement points: 6562
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0030319644138217	-1.94785731844604
1	0.01	-0.0030319644138217	-1.94785731844604
2	0.02	-0.0043216363992542	-1.94914699043147
3	0.03	-0.0030319644138217	-1.94785731844604
4	0.04	0.390317991143093	-1.94785731844604
5	0.05	-0.0030319644138217	-1.94785731844604
6	0.06	-0.00690098037011921	-1.94785731844604
7	0.07	-0.0030319644138217	-1.94785731844604
8	0.08	-0.0043216363992542	-1.94785731844604
9	0.09	-0.0030319644138217	-1.94785731844604
10	0.1	-0.0043216363992542	-1.94785731844604
11	0.11	-0.0030319644138217	-1.94785731844604
12	0.12	-0.0030319644138217	-1.94785731844604
13	0.13	-0.0043216363992542	-1.94785731844604
14	0.14	-0.0030319644138217	-1.94785731844604
15	0.15	-0.0030319644138217	-1.94785731844604
16	0.16	-0.0030319644138217	-1.94785731844604
17	0.17	-0.00690098037011921	-1.94785731844604
18	0.18	-0.0030319644138217	-1.94785731844604
19	0.19	-0.00690098037011921	-1.94785731844604
20	0.2	-0.0030319644138217	-1.94785731844604
21	0.21	-0.0043216363992542	-1.94785731844604
22	0.22	-0.0030319644138217	-1.94785731844604
23	0.23	-0.0043216363992542	-1.94785731844604
24	0.24	-0.0030319644138217	-1.94785731844604
25	0.25	-0.0043216363992542	-1.94785731844604
26	0.26	-0.0030319644138217	-1.94785731844604
27	0.27	-0.0043216363992542	-1.94785731844604
28	0.28	-0.0030319644138217	-1.94785731844604
29	0.29	-0.0043216363992542	-1.94785731844604
30	0.3	-0.0030319644138217	-1.94914699043147
31	0.31	-0.0043216363992542	-1.94785731844604
32	0.32	-0.0030319644138217	-1.94785731844604
33	0.33	-0.0043216363992542	-1.94785731844604
34	0.34	-0.0030319644138217	-1.94785731844604
35	0.35	-0.0043216363992542	-1.94785731844604
36	0.36	-0.0043216363992542	-1.94785731844604
37	0.37	-0.0030319644138217	-1.94785731844604
38	0.38	-0.0030319644138217	-1.94656764646061
39	0.39	-0.0043216363992542	-1.94785731844604
40	0.4	-0.0030319644138217	-1.94785731844604
41	0.41	-0.0030319644138217	-1.94785731844604
42	0.42	-0.00819065235555172	-1.94656764646061
43	0.43	-0.0030319644138217	-1.94785731844604
44	0.44	-0.0043216363992542	-1.94785731844604
45	0.45	-0.0030319644138217	-1.94656764646061
46	0.46	-0.0043216363992542	-1.94785731844604
47	0.47	-0.0043216363992542	-1.94785731844604
48	0.48	-0.0030319644138217	-1.94785731844604
49	0.49	-0.0030319644138217	-1.94656764646061
50	0.5	-0.0030319644138217	-1.94656764646061
51	0.51	-0.0030319644138217	-1.94656764646061
52	0.52	-0.0030319644138217	-1.94656764646061
53	0.53	-0.00819065235555172	-1.94785731844604
54	0.54	-0.0030319644138217	-1.94656764646061
55	0.55	-0.00561130838468671	-1.94656764646061
56	0.56	-0.0030319644138217	-1.94785731844604
57	0.57	-0.0043216363992542	-1.94656764646061
58	0.58	-0.0030319644138217	-1.94656764646061
59	0.59	-0.00561130838468671	-1.94656764646061
60	0.6	-0.0030319644138217	-1.94785731844604
61	0.61	-0.0043216363992542	-1.94785731844604
62	0.62	-0.00174229242838919	-1.94656764646061
63	0.63	-0.0043216363992542	-1.94656764646061
64	0.64	-0.0030319644138217	-1.94656764646061
65	0.65	-0.0043216363992542	-1.94656764646061
66	0.66	-0.0030319644138217	-1.94656764646061
67	0.67	-0.0043216363992542	-1.94656764646061
68	0.68	-0.0030319644138217	-1.94656764646061
69	0.69	-0.0043216363992542	-1.94656764646061
