Number of measurement points: 5812
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0030319644138217	-1.99944419786334
1	0.01	-0.0030319644138217	-2.00073386984877
2	0.02	-0.0030319644138217	-1.99944419786334
3	0.03	-0.0030319644138217	-1.99944419786334
4	0.04	-0.0030319644138217	-1.99944419786334
5	0.05	-0.0030319644138217	-2.00073386984877
6	0.06	-0.0030319644138217	-2.00073386984877
7	0.07	-0.00174229242838919	-2.00073386984877
8	0.08	-0.0030319644138217	-2.00073386984877
9	0.09	-0.00174229242838919	-2.00073386984877
10	0.1	-0.0030319644138217	-2.00073386984877
11	0.11	-0.0030319644138217	-1.99944419786334
12	0.12	-0.00174229242838919	-2.00073386984877
13	0.13	-0.0030319644138217	-2.00073386984877
14	0.14	-0.0030319644138217	-2.00073386984877
15	0.15	-0.0030319644138217	-2.00073386984877
16	0.16	-0.00174229242838919	-1.99944419786334
17	0.17	-0.0030319644138217	-2.00073386984877
18	0.18	-0.0030319644138217	-1.99944419786334
19	0.19	-0.0030319644138217	-2.00073386984877
20	0.2	-0.00174229242838919	-2.00073386984877
21	0.21	-0.0030319644138217	-1.99944419786334
22	0.22	-0.0030319644138217	-2.00073386984877
23	0.23	-0.0030319644138217	-2.00073386984877
24	0.24	-0.00174229242838919	-1.99944419786334
25	0.25	-0.0030319644138217	-2.00073386984877
26	0.26	-0.0030319644138217	-2.00073386984877
27	0.27	-0.0043216363992542	-2.00073386984877
28	0.28	-0.00174229242838919	-2.00073386984877
29	0.29	-0.0030319644138217	-2.00073386984877
30	0.3	-0.0030319644138217	-2.00073386984877
31	0.31	-0.0030319644138217	-1.99944419786334
32	0.32	-0.0030319644138217	-2.00073386984877
33	0.33	-0.0030319644138217	-2.00073386984877
34	0.34	-0.0030319644138217	-1.99944419786334
35	0.35	-0.0030319644138217	-2.00073386984877
36	0.36	-0.0030319644138217	-2.00073386984877
37	0.37	-0.0030319644138217	-1.99944419786334
38	0.38	-0.0030319644138217	-2.00073386984877
39	0.39	-0.0030319644138217	-2.00073386984877
40	0.4	-0.0030319644138217	-2.00073386984877
41	0.41	-0.0030319644138217	-1.99944419786334
42	0.42	-0.0030319644138217	-2.00073386984877
43	0.43	-0.00174229242838919	-1.99944419786334
44	0.44	-0.00174229242838919	-1.99944419786334
45	0.45	-0.0030319644138217	-1.99944419786334
46	0.46	-0.0030319644138217	-2.00073386984877
47	0.47	-0.00174229242838919	-2.00073386984877
48	0.48	-0.0030319644138217	-1.99944419786334
49	0.49	-0.0030319644138217	-1.99944419786334
50	0.5	-0.0030319644138217	-2.00073386984877
51	0.51	-0.0030319644138217	-2.00073386984877
52	0.52	-0.0030319644138217	-2.00073386984877
53	0.53	-0.00174229242838919	-1.99944419786334
54	0.54	-0.00174229242838919	-2.00073386984877
55	0.55	-0.0030319644138217	-2.00073386984877
56	0.56	-0.0030319644138217	-1.99944419786334
57	0.57	-0.0030319644138217	-2.00073386984877
58	0.58	-0.00174229242838919	-2.00073386984877
59	0.59	-0.0030319644138217	-1.99944419786334
60	0.6	-0.00174229242838919	-1.99944419786334
61	0.61	-0.0030319644138217	-1.99944419786334
62	0.62	-0.0030319644138217	-1.99944419786334
