Number of measurement points: 565
Sample Rate (Hz): 10
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0043216363992542	-1.96333338227123
1	0.1	-0.0030319644138217	-1.96333338227123
2	0.2	-0.0030319644138217	-1.96333338227123
3	0.3	-0.0043216363992542	-1.96333338227123
4	0.4	-0.0030319644138217	-1.9620437102858
5	0.5	-0.0043216363992542	-1.96333338227123
6	0.6	-0.0030319644138217	-1.96333338227123
7	0.7	-0.0030319644138217	-1.96333338227123
8	0.8	-0.0030319644138217	-1.96333338227123
9	0.9	-0.0030319644138217	-1.96333338227123
10	1	-0.0030319644138217	-1.96333338227123
11	1.1	-0.0043216363992542	-1.96333338227123
12	1.2	-0.0030319644138217	-1.96333338227123
13	1.3	-0.0043216363992542	-1.96333338227123
14	1.4	-0.0030319644138217	-1.96333338227123
15	1.5	-0.0030319644138217	-1.96333338227123
16	1.6	-0.0030319644138217	-1.96333338227123
17	1.7	-0.0030319644138217	-1.96333338227123
18	1.8	-0.0030319644138217	-1.96333338227123
19	1.9	-0.0030319644138217	-1.96333338227123
20	2	-0.0030319644138217	-1.96333338227123
21	2.1	-0.0030319644138217	-1.96333338227123
22	2.2	-0.0030319644138217	-1.96462305425666
23	2.3	-0.0030319644138217	-1.96333338227123
24	2.4	-0.0030319644138217	-1.96333338227123
25	2.5	-0.0043216363992542	-1.96333338227123
26	2.6	-0.0030319644138217	-1.96333338227123
27	2.7	-0.0030319644138217	-1.96333338227123
28	2.8	-0.0030319644138217	-1.96462305425666
29	2.9	-0.0030319644138217	-1.96462305425666
30	3	-0.0030319644138217	-1.96462305425666
31	3.1	-0.0043216363992542	-1.96333338227123
32	3.2	-0.0043216363992542	-1.9620437102858
33	3.3	-0.00561130838468671	-1.95688502234407
34	3.4	-0.00561130838468671	-1.95301600638777
35	3.5	-0.0043216363992542	-1.94914699043147
36	3.6	-0.0030319644138217	-1.94398830248974
37	3.7	-0.0030319644138217	-1.93882961454801
38	3.8	-0.0030319644138217	-1.93238125462085
39	3.9	-0.0030319644138217	-1.92722256667912
40	4	-0.0043216363992542	-1.92077420675196
41	4.1	-0.0043216363992542	-1.9143258468248
42	4.2	-0.0043216363992542	-1.90787748689763
43	4.3	-0.0043216363992542	-1.90142912697047
44	4.4	-0.0043216363992542	-1.89369109505787
45	4.5	-0.00561130838468671	-1.88595306314528
46	4.6	-0.0030319644138217	-1.87821503123268
47	4.7	-0.0030319644138217	-1.86918732733466
48	4.8	-0.0030319644138217	-1.86273896740749
49	4.9	-0.0030319644138217	-1.8550009354949
