Address,ASRL1::INSTR
Model,34401A
Serial Number:,0
Firmware Version,11-5-2
Start Time,2021-05-04 13:19:28.842
Stop Time,2021-05-04 13:21:25.841
Sample Count,2792
Auto Range:,On
Measurement:,AC Voltage
Range(VAC):,10
Resolution(VAC):,0.0001
,
Time (s),Channel 1 (VAC)
2021-05-04 13:19:29.942,0.66508594
2021-05-04 13:19:29.981,0.5954896
2021-05-04 13:19:30.023,0.58393685
2021-05-04 13:19:30.064,0.63975128
2021-05-04 13:19:30.105,0.7327137
2021-05-04 13:19:30.146,0.83752447
2021-05-04 13:19:30.186,0.9181029
2021-05-04 13:19:30.226,0.97067159
2021-05-04 13:19:30.266,0.98287319
2021-05-04 13:19:30.306,0.95496786
2021-05-04 13:19:30.346,0.89075544
2021-05-04 13:19:30.387,0.79987061
2021-05-04 13:19:30.428,0.69693408
2021-05-04 13:19:30.468,0.61389545
2021-05-04 13:19:30.509,0.57980934
2021-05-04 13:19:30.550,0.6127858
2021-05-04 13:19:30.590,0.69725882
2021-05-04 13:19:30.631,0.79716932
2021-05-04 13:19:30.672,0.88993383
2021-05-04 13:19:30.712,0.95466513
2021-05-04 13:19:30.752,0.98102307
2021-05-04 13:19:30.793,0.96756863
2021-05-04 13:19:30.833,0.9159056
2021-05-04 13:19:30.874,0.833324
2021-05-04 13:19:30.914,0.73160069
2021-05-04 13:19:30.955,0.63763135
2021-05-04 13:19:30.995,0.58561213
2021-05-04 13:19:31.036,0.59812107
2021-05-04 13:19:31.076,0.66810127
2021-05-04 13:19:31.117,0.7675407
2021-05-04 13:19:31.158,0.86174192
2021-05-04 13:19:31.199,0.93462467
2021-05-04 13:19:31.240,0.97148502
2021-05-04 13:19:31.281,0.96918583
2021-05-04 13:19:31.321,0.92796254
2021-05-04 13:19:31.361,0.85132986
2021-05-04 13:19:31.401,0.75524916
2021-05-04 13:19:31.441,0.65848691
2021-05-04 13:19:31.481,0.5899279
2021-05-04 13:19:31.522,0.57832295
2021-05-04 13:19:31.564,0.63328916
2021-05-04 13:19:31.604,0.72438762
2021-05-04 13:19:31.645,0.82450399
2021-05-04 13:19:31.686,0.90710613
2021-05-04 13:19:31.727,0.95726747
2021-05-04 13:19:31.768,0.96790783
2021-05-04 13:19:31.809,0.93803561
2021-05-04 13:19:31.849,0.87102273
2021-05-04 13:19:31.890,0.7775907
2021-05-04 13:19:31.931,0.67907477
2021-05-04 13:19:31.971,0.60075422
2021-05-04 13:19:32.011,0.57424744
2021-05-04 13:19:32.052,0.61279942
2021-05-04 13:19:32.092,0.70038988
2021-05-04 13:19:32.133,0.80131486
2021-05-04 13:19:32.174,0.89595088
2021-05-04 13:19:32.214,0.95790773
2021-05-04 13:19:32.255,0.98275348
2021-05-04 13:19:32.296,0.96584722
2021-05-04 13:19:32.337,0.90883655
2021-05-04 13:19:32.377,0.82297106
2021-05-04 13:19:32.418,0.7201098
2021-05-04 13:19:32.458,0.62987613
2021-05-04 13:19:32.498,0.58135003
2021-05-04 13:19:32.538,0.59755545
2021-05-04 13:19:32.578,0.67114302
2021-05-04 13:19:32.618,0.77134556
2021-05-04 13:19:32.659,0.86851138
