Number of measurement points: 10000
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0133493402972817	-1.3868500047829
1	0.01	-0.0120596683118492	-1.38813967676833
2	0.02	-0.0120596683118492	-1.38942934875377
3	0.03	-0.0120596683118492	-1.38942934875377
4	0.04	-0.0120596683118492	-1.3907190207392
5	0.05	-0.0120596683118492	-1.39200869272463
6	0.06	-0.0120596683118492	-1.39329836471006
7	0.07	-0.0120596683118492	-1.39329836471006
8	0.08	-0.0120596683118492	-1.39587770868093
9	0.09	-0.0120596683118492	-1.39587770868093
10	0.1	-0.0120596683118492	-1.39716738066636
11	0.11	-0.0120596683118492	-1.39845705265179
12	0.12	-0.0120596683118492	-1.39845705265179
13	0.13	-0.0120596683118492	-1.39974672463723
14	0.14	-0.0120596683118492	-1.39974672463723
15	0.15	-0.0133493402972817	-1.40232606860809
16	0.16	-0.0133493402972817	-1.40232606860809
17	0.17	-0.0107699963264167	-1.40361574059352
18	0.18	-0.0120596683118492	-1.40361574059352
19	0.19	-0.0120596683118492	-1.40490541257896
20	0.2	-0.0133493402972817	-1.40619508456439
21	0.21	-0.0120596683118492	-1.40619508456439
22	0.22	-0.0107699963264167	-1.40748475654982
23	0.23	-0.0120596683118492	-1.40877442853525
24	0.24	-0.0120596683118492	-1.41006410052069
25	0.25	-0.0133493402972817	-1.41135377250612
26	0.26	-0.0120596683118492	-1.41135377250612
27	0.27	-0.0120596683118492	-1.41135377250612
28	0.28	-0.0120596683118492	-1.41393311647698
29	0.29	-0.0120596683118492	-1.41393311647698
30	0.3	-0.0120596683118492	-1.41522278846242
31	0.31	-0.0120596683118492	-1.41522278846242
32	0.32	-0.0120596683118492	-1.41651246044785
33	0.33	-0.0120596683118492	-1.41780213243328
34	0.34	-0.0120596683118492	-1.41780213243328
35	0.35	-0.0120596683118492	-1.41909180441871
36	0.36	-0.0133493402972817	-1.42038147640415
37	0.37	-0.0120596683118492	-1.42038147640415
38	0.38	-0.0120596683118492	-1.42167114838958
39	0.39	-0.0107699963264167	-1.42167114838958
40	0.4	-0.0120596683118492	-1.42296082037501
41	0.41	-0.0120596683118492	-1.42296082037501
42	0.42	-0.0120596683118492	-1.42425049236044
43	0.43	-0.0120596683118492	-1.42425049236044
44	0.44	-0.0120596683118492	-1.42554016434588
45	0.45	-0.0133493402972817	-1.42682983633131
46	0.46	-0.0133493402972817	-1.42682983633131
47	0.47	-0.0120596683118492	-1.42682983633131
48	0.48	-0.0107699963264167	-1.42811950831674
49	0.49	-0.0133493402972817	-1.42811950831674
50	0.5	-0.0120596683118492	-1.42811950831674
51	0.51	-0.0120596683118492	-1.42940918030217
52	0.52	-0.0107699963264167	-1.42940918030217
53	0.53	-0.0120596683118492	-1.43069885228761
54	0.54	-0.0120596683118492	-1.43069885228761
55	0.55	-0.0133493402972817	-1.43069885228761
56	0.56	-0.0107699963264167	-1.43198852427304
57	0.57	-0.0120596683118492	-1.43198852427304
58	0.58	-0.0120596683118492	-1.43198852427304
59	0.59	-0.0133493402972817	-1.43327819625847
60	0.6	-0.0120596683118492	-1.43327819625847
61	0.61	-0.0133493402972817	-1.43327819625847
62	0.62	-0.0120596683118492	-1.4345678682439
63	0.63	-0.0120596683118492	-1.4345678682439
64	0.64	-0.0120596683118492	-1.4345678682439
65	0.65	-0.0120596683118492	-1.43585754022934
66	0.66	-0.0120596683118492	-1.43585754022934
67	0.67	-0.0120596683118492	-1.43585754022934
68	0.68	-0.0107699963264167	-1.43714721221477
69	0.69	-0.0120596683118492	-1.43714721221477
70	0.7	-0.0120596683118492	-1.43714721221477
71	0.71	-0.0133493402972817	-1.43714721221477
72	0.72	-0.0120596683118492	-1.43714721221477
73	0.73	-0.0107699963264167	-1.4384368842002
74	0.74	-0.0107699963264167	-1.4384368842002
75	0.75	-0.0133493402972817	-1.43972655618563
76	0.76	-0.0120596683118492	-1.43972655618563
77	0.77	-0.0107699963264167	-1.43972655618563
78	0.78	-0.0120596683118492	-1.44101622817107
79	0.79	-0.0107699963264167	-1.44101622817107
80	0.8	-0.0120596683118492	-1.44101622817107
81	0.81	-0.0120596683118492	-1.44101622817107
82	0.82	-0.0107699963264167	-1.4423059001565
83	0.83	-0.0120596683118492	-1.4423059001565
84	0.84	-0.0107699963264167	-1.4423059001565
85	0.85	-0.0120596683118492	-1.44359557214193
86	0.86	-0.0133493402972817	-1.44359557214193
87	0.87	-0.0120596683118492	-1.44488524412736
88	0.88	-0.0120596683118492	-1.44488524412736
89	0.89	-0.0133493402972817	-1.4461749161128
90	0.9	-0.0120596683118492	-1.4461749161128
91	0.91	-0.0107699963264167	-1.44746458809823
92	0.92	-0.0120596683118492	-1.44746458809823
93	0.93	-0.0120596683118492	-1.44875426008366
94	0.94	-0.0120596683118492	-1.44875426008366
95	0.95	-0.0107699963264167	-1.44875426008366
96	0.96	-0.0133493402972817	-1.45133360405453
97	0.97	-0.0120596683118492	-1.45133360405453
98	0.98	-0.0120596683118492	-1.45133360405453
99	0.99	-0.0107699963264167	-1.45133360405453
100	1	-0.0107699963264167	-1.45262327603996
101	1.01	-0.0133493402972817	-1.45391294802539
102	1.02	-0.0120596683118492	-1.45391294802539
103	1.03	-0.0133493402972817	-1.45520262001082
104	1.04	-0.0107699963264167	-1.45520262001082
105	1.05	-0.0120596683118492	-1.45649229199626
106	1.06	-0.0133493402972817	-1.45778196398169
107	1.07	-0.0120596683118492	-1.45778196398169
108	1.08	-0.0120596683118492	-1.45778196398169
109	1.09	-0.0107699963264167	-1.45907163596712
110	1.1	-0.0120596683118492	-1.46036130795255
111	1.11	-0.0120596683118492	-1.45907163596712
112	1.12	-0.0107699963264167	-1.46165097993799
113	1.13	-0.0107699963264167	-1.46165097993799
114	1.14	-0.0120596683118492	-1.46294065192342
115	1.15	-0.0120596683118492	-1.46294065192342
116	1.16	-0.0120596683118492	-1.46423032390885
117	1.17	-0.0107699963264167	-1.46551999589428
118	1.18	-0.0120596683118492	-1.46551999589428
119	1.19	-0.0133493402972817	-1.46680966787972
120	1.2	-0.0120596683118492	-1.46680966787972
121	1.21	-0.0120596683118492	-1.46680966787972
122	1.22	-0.0120596683118492	-1.46809933986515
123	1.23	-0.0133493402972817	-1.46938901185058
124	1.24	-0.0120596683118492	-1.46938901185058
125	1.25	-0.0120596683118492	-1.47067868383601
126	1.26	-0.0120596683118492	-1.47196835582145
127	1.27	-0.0120596683118492	-1.47325802780688
128	1.28	-0.0120596683118492	-1.47325802780688
129	1.29	-0.0120596683118492	-1.47454769979231
130	1.3	-0.0107699963264167	-1.47583737177774
131	1.31	-0.0120596683118492	-1.47583737177774
132	1.32	-0.0120596683118492	-1.47583737177774
133	1.33	-0.0133493402972817	-1.47712704376318
134	1.34	-0.0107699963264167	-1.47841671574861
135	1.35	-0.0120596683118492	-1.47841671574861
136	1.36	-0.0133493402972817	-1.47970638773404
137	1.37	-0.0120596683118492	-1.47970638773404
138	1.38	-0.0120596683118492	-1.48099605971947
139	1.39	-0.0107699963264167	-1.48228573170491
140	1.4	-0.0107699963264167	-1.48228573170491
141	1.41	-0.0133493402972817	-1.48357540369034
142	1.42	-0.0120596683118492	-1.48486507567577
143	1.43	-0.0120596683118492	-1.48486507567577
144	1.44	-0.0107699963264167	-1.4861547476612
145	1.45	-0.0120596683118492	-1.48744441964664
146	1.46	-0.0133493402972817	-1.48744441964664
147	1.47	-0.0120596683118492	-1.48873409163207
148	1.48	-0.0120596683118492	-1.4900237636175
149	1.49	-0.0107699963264167	-1.4900237636175
150	1.5	-0.0120596683118492	-1.49131343560293
151	1.51	-0.0120596683118492	-1.49131343560293
152	1.52	-0.0107699963264167	-1.49260310758837
153	1.53	-0.0120596683118492	-1.4938927795738
154	1.54	-0.0120596683118492	-1.4938927795738
155	1.55	-0.0120596683118492	-1.49518245155923
156	1.56	-0.0107699963264167	-1.49518245155923
157	1.57	-0.0107699963264167	-1.49647212354466
158	1.58	-0.0120596683118492	-1.4977617955301
159	1.59	-0.0133493402972817	-1.4977617955301
160	1.6	-0.0120596683118492	-1.49905146751553
161	1.61	-0.0120596683118492	-1.50034113950096
162	1.62	-0.0120596683118492	-1.50034113950096
163	1.63	-0.0120596683118492	-1.50163081148639
164	1.64	-0.0120596683118492	-1.50163081148639
165	1.65	-0.0120596683118492	-1.50292048347183
166	1.66	-0.0120596683118492	-1.50292048347183
167	1.67	-0.0120596683118492	-1.50421015545726
168	1.68	-0.0120596683118492	-1.50421015545726
169	1.69	-0.0120596683118492	-1.50549982744269
170	1.7	-0.0107699963264167	-1.50678949942812
171	1.71	-0.0120596683118492	-1.50678949942812
172	1.72	-0.0120596683118492	-1.50807917141356
173	1.73	-0.0120596683118492	-1.50936884339899
174	1.74	-0.0107699963264167	-1.50936884339899
175	1.75	-0.0120596683118492	-1.51065851538442
176	1.76	-0.0120596683118492	-1.51065851538442
177	1.77	-0.0133493402972817	-1.51194818736985
178	1.78	-0.0120596683118492	-1.51323785935529
179	1.79	-0.0107699963264167	-1.51452753134072
180	1.8	-0.0120596683118492	-1.51581720332615
181	1.81	-0.0120596683118492	-1.51581720332615
182	1.82	-0.0120596683118492	-1.51710687531158
183	1.83	-0.0120596683118492	-1.51710687531158
184	1.84	-0.0107699963264167	-1.51839654729702
185	1.85	-0.0120596683118492	-1.51968621928245
186	1.86	-0.0133493402972817	-1.51968621928245
187	1.87	-0.0120596683118492	-1.52097589126788
188	1.88	-0.0120596683118492	-1.52226556325331
189	1.89	-0.0120596683118492	-1.52355523523875
190	1.9	-0.0133493402972817	-1.52484490722418
191	1.91	-0.0120596683118492	-1.52484490722418
192	1.92	-0.0107699963264167	-1.52613457920961
193	1.93	-0.0120596683118492	-1.52613457920961
194	1.94	-0.0120596683118492	-1.52742425119504
195	1.95	-0.0120596683118492	-1.52871392318048
196	1.96	-0.0120596683118492	-1.53000359516591
197	1.97	-0.0120596683118492	-1.53129326715134
198	1.98	-0.0120596683118492	-1.53129326715134
199	1.99	-0.0120596683118492	-1.53258293913677
200	2	-0.0120596683118492	-1.53258293913677
201	2.01	-0.0120596683118492	-1.53258293913677
202	2.02	-0.0120596683118492	-1.53516228310764
203	2.03	-0.0133493402972817	-1.53645195509307
204	2.04	-0.0120596683118492	-1.53645195509307
205	2.05	-0.0120596683118492	-1.5377416270785
206	2.06	-0.0120596683118492	-1.5377416270785
207	2.07	-0.0120596683118492	-1.53903129906394
208	2.08	-0.0120596683118492	-1.54032097104937
209	2.09	-0.0120596683118492	-1.54032097104937
210	2.1	-0.0120596683118492	-1.5416106430348
211	2.11	-0.0133493402972817	-1.54290031502023
212	2.12	-0.0120596683118492	-1.54290031502023
213	2.13	-0.0133493402972817	-1.54418998700567
214	2.14	-0.0120596683118492	-1.5454796589911
215	2.15	-0.0107699963264167	-1.5454796589911
216	2.16	-0.0133493402972817	-1.54676933097653
217	2.17	-0.0120596683118492	-1.54805900296196
218	2.18	-0.0120596683118492	-1.54805900296196
219	2.19	-0.0107699963264167	-1.5493486749474
220	2.2	-0.0120596683118492	-1.5493486749474
221	2.21	-0.0133493402972817	-1.55063834693283
222	2.22	-0.0120596683118492	-1.55192801891826
223	2.23	-0.0120596683118492	-1.55192801891826
224	2.24	-0.0120596683118492	-1.55321769090369
225	2.25	-0.0120596683118492	-1.55321769090369
226	2.26	-0.0120596683118492	-1.55450736288913
227	2.27	-0.0120596683118492	-1.55579703487456
228	2.28	-0.0120596683118492	-1.55708670685999
229	2.29	-0.0120596683118492	-1.55708670685999
230	2.3	-0.0120596683118492	-1.55837637884542
231	2.31	-0.0120596683118492	-1.55966605083086
232	2.32	-0.0107699963264167	-1.55966605083086
233	2.33	-0.0120596683118492	-1.56095572281629
234	2.34	-0.0120596683118492	-1.56095572281629
235	2.35	-0.0133493402972817	-1.56224539480172
236	2.36	-0.0107699963264167	-1.56353506678715
237	2.37	-0.0120596683118492	-1.56482473877259
238	2.38	-0.0133493402972817	-1.56611441075802
239	2.39	-0.0133493402972817	-1.56611441075802
240	2.4	-0.0107699963264167	-1.56740408274345
241	2.41	-0.0120596683118492	-1.56740408274345
