Number of measurement points: 10918
Sample Rate (Hz): 100
Low limit Ch0 (V): -5
Upper limit Ch0 (V): 5
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0249563881661743	-2.00073386984877
1	0.01	-0.0236667161807418	-2.00073386984877
2	0.02	-0.0236667161807418	-2.00073386984877
3	0.03	-0.0223770441953093	-2.00073386984877
4	0.04	-0.0236667161807418	-2.00073386984877
5	0.05	-0.0236667161807418	-1.99944419786334
6	0.06	-0.0236667161807418	-1.99944419786334
7	0.07	-0.0223770441953093	-2.00073386984877
8	0.08	-0.0236667161807418	-1.99944419786334
9	0.09	-0.0236667161807418	-1.99944419786334
10	0.1	-0.0236667161807418	-1.99944419786334
11	0.11	-0.0223770441953093	-1.99944419786334
12	0.12	-0.0223770441953093	-1.99944419786334
13	0.13	-0.0236667161807418	-1.99944419786334
14	0.14	-0.0236667161807418	-1.99944419786334
15	0.15	-0.0223770441953093	-1.99944419786334
16	0.16	-0.0223770441953093	-1.99815452587791
17	0.17	-0.0236667161807418	-1.99944419786334
18	0.18	-0.0236667161807418	-1.99815452587791
19	0.19	-0.0223770441953093	-1.99815452587791
20	0.2	-0.0249563881661743	-1.99815452587791
21	0.21	-0.0236667161807418	-1.99815452587791
22	0.22	-0.0223770441953093	-1.99686485389248
23	0.23	-0.0223770441953093	-1.99686485389248
24	0.24	-0.0249563881661743	-1.99686485389248
25	0.25	-0.0236667161807418	-1.99686485389248
26	0.26	-0.0223770441953093	-1.99686485389248
27	0.27	-0.0236667161807418	-1.99686485389248
28	0.28	-0.0236667161807418	-1.99686485389248
29	0.29	-0.0223770441953093	-1.99686485389248
30	0.3	-0.0223770441953093	-1.99557518190704
31	0.31	-0.0223770441953093	-1.99557518190704
32	0.32	-0.0236667161807418	-1.99557518190704
33	0.33	-0.0223770441953093	-1.99428550992161
34	0.34	-0.0223770441953093	-1.99557518190704
35	0.35	-0.0223770441953093	-1.99428550992161
36	0.36	-0.0249563881661743	-1.99428550992161
37	0.37	-0.0236667161807418	-1.99428550992161
38	0.38	-0.0223770441953093	-1.99428550992161
39	0.39	-0.0236667161807418	-1.99428550992161
40	0.4	-0.0249563881661743	-1.99299583793618
41	0.41	-0.0223770441953093	-1.99299583793618
42	0.42	-0.0223770441953093	-1.99299583793618
43	0.43	-0.0249563881661743	-1.99299583793618
44	0.44	-0.0236667161807418	-1.99299583793618
45	0.45	-0.0236667161807418	-1.99170616595075
46	0.46	-0.0223770441953093	-1.99170616595075
47	0.47	-0.0236667161807418	-1.99170616595075
48	0.48	-0.0236667161807418	-1.99170616595075
49	0.49	-0.0223770441953093	-1.99041649396531
50	0.5	-0.0236667161807418	-1.99041649396531
51	0.51	-0.0236667161807418	-1.99041649396531
52	0.52	-0.0236667161807418	-1.99041649396531
53	0.53	-0.0223770441953093	-1.98912682197988
54	0.54	-0.0236667161807418	-1.99041649396531
55	0.55	-0.0236667161807418	-1.98912682197988
56	0.56	-0.0223770441953093	-1.98912682197988
57	0.57	-0.0223770441953093	-1.98783714999445
58	0.58	-0.0236667161807418	-1.98912682197988
59	0.59	-0.0236667161807418	-1.98783714999445
60	0.6	-0.0236667161807418	-1.98783714999445
61	0.61	-0.0236667161807418	-1.98783714999445
62	0.62	-0.0236667161807418	-1.98654747800902
63	0.63	-0.0249563881661743	-1.98654747800902
64	0.64	-0.0236667161807418	-1.98654747800902
