Number of measurement points: 9937
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -2
Upper limit Ch1 (V): 2

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0236667161807418	-2.01620993367396
1	0.01	-0.0210873722098768	-2.01620993367396
2	0.02	-0.0210873722098768	-2.01620993367396
3	0.03	-0.0210873722098768	-2.01620993367396
4	0.04	-0.0223770441953093	-2.01620993367396
5	0.05	-0.0210873722098768	-2.01620993367396
6	0.06	-0.0223770441953093	-2.01620993367396
7	0.07	-0.0210873722098768	-2.01620993367396
8	0.08	-0.0223770441953093	-2.01620993367396
9	0.09	-0.0236667161807418	-2.01620993367396
10	0.1	-0.0223770441953093	-2.01620993367396
11	0.11	-0.0210873722098768	-2.01620993367396
12	0.12	-0.0210873722098768	-2.01492026168853
13	0.13	-0.0223770441953093	-2.01620993367396
14	0.14	-0.0223770441953093	-2.01620993367396
15	0.15	-0.0210873722098768	-2.01492026168853
16	0.16	-0.0210873722098768	-2.01620993367396
17	0.17	-0.0210873722098768	-2.01620993367396
18	0.18	-0.0236667161807418	-2.01620993367396
19	0.19	-0.0223770441953093	-2.01620993367396
20	0.2	-0.0223770441953093	-2.01620993367396
21	0.21	-0.0210873722098768	-2.01492026168853
22	0.22	-0.0223770441953093	-2.01620993367396
23	0.23	-0.0210873722098768	-2.01492026168853
24	0.24	-0.0223770441953093	-2.01492026168853
25	0.25	-0.0223770441953093	-2.01620993367396
26	0.26	-0.0210873722098768	-2.01620993367396
27	0.27	-0.0223770441953093	-2.01620993367396
28	0.28	-0.0236667161807418	-2.01620993367396
29	0.29	-0.0223770441953093	-2.01620993367396
30	0.3	-0.0236667161807418	-2.01620993367396
31	0.31	-0.0210873722098768	-2.01620993367396
32	0.32	-0.0236667161807418	-2.01620993367396
33	0.33	-0.0210873722098768	-2.01492026168853
34	0.34	-0.0223770441953093	-2.01492026168853
35	0.35	-0.0210873722098768	-2.01492026168853
36	0.36	-0.0210873722098768	-2.01620993367396
37	0.37	-0.0223770441953093	-2.01620993367396
38	0.38	-0.0223770441953093	-2.01620993367396
39	0.39	-0.0223770441953093	-2.01492026168853
40	0.4	-0.0210873722098768	-2.01492026168853
41	0.41	-0.0210873722098768	-2.01620993367396
42	0.42	-0.0223770441953093	-2.01492026168853
43	0.43	-0.0236667161807418	-2.01620993367396
44	0.44	-0.0236667161807418	-2.01620993367396
45	0.45	-0.0197977002244443	-2.01620993367396
46	0.46	-0.0210873722098768	-2.01620993367396
47	0.47	-0.0223770441953093	-2.01620993367396
48	0.48	-0.0210873722098768	-2.01492026168853
49	0.49	-0.0223770441953093	-2.01492026168853
50	0.5	-0.0223770441953093	-2.01492026168853
51	0.51	-0.0210873722098768	-2.01620993367396
52	0.52	-0.0223770441953093	-2.01620993367396
