Number of measurement points: 7575
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0133493402972817	-0.860663834726438
1	0.01	-0.0133493402972817	-0.86195350671187
2	0.02	-0.0133493402972817	-0.86195350671187
3	0.03	-0.0133493402972817	-0.860663834726438
4	0.04	-0.0133493402972817	-0.860663834726438
5	0.05	-0.0133493402972817	-0.860663834726438
6	0.06	-0.0133493402972817	-0.860663834726438
7	0.07	-0.0146390122827142	-0.860663834726438
8	0.08	-0.0146390122827142	-0.860663834726438
9	0.09	-0.0146390122827142	-0.860663834726438
10	0.1	-0.0133493402972817	-0.860663834726438
11	0.11	-0.0133493402972817	-0.860663834726438
12	0.12	-0.0133493402972817	-0.860663834726438
13	0.13	-0.0133493402972817	-0.86195350671187
14	0.14	-0.0133493402972817	-0.860663834726438
15	0.15	-0.0133493402972817	-0.860663834726438
16	0.16	-0.0133493402972817	-0.860663834726438
17	0.17	-0.0133493402972817	-0.860663834726438
18	0.18	-0.0133493402972817	-0.860663834726438
19	0.19	-0.0146390122827142	-0.860663834726438
20	0.2	-0.0133493402972817	-0.86195350671187
21	0.21	-0.0146390122827142	-0.860663834726438
22	0.22	-0.0133493402972817	-0.860663834726438
23	0.23	-0.0133493402972817	-0.860663834726438
24	0.24	-0.0133493402972817	-0.860663834726438
25	0.25	-0.0133493402972817	-0.86195350671187
26	0.26	-0.0146390122827142	-0.86195350671187
27	0.27	-0.0146390122827142	-0.860663834726438
28	0.28	-0.0146390122827142	-0.860663834726438
29	0.29	-0.0146390122827142	-0.860663834726438
30	0.3	-0.0120596683118492	-0.860663834726438
31	0.31	-0.0133493402972817	-0.860663834726438
32	0.32	-0.0133493402972817	-0.860663834726438
33	0.33	-0.0133493402972817	-0.860663834726438
34	0.34	-0.0146390122827142	-0.860663834726438
35	0.35	-0.0133493402972817	-0.860663834726438
36	0.36	-0.0133493402972817	-0.86195350671187
37	0.37	-0.0133493402972817	-0.860663834726438
38	0.38	-0.0133493402972817	-0.860663834726438
39	0.39	-0.0133493402972817	-0.860663834726438
40	0.4	-0.0133493402972817	-0.86195350671187
41	0.41	-0.0146390122827142	-0.860663834726438
42	0.42	-0.0146390122827142	-0.860663834726438
43	0.43	-0.0146390122827142	-0.86195350671187
44	0.44	-0.0133493402972817	-0.860663834726438
45	0.45	-0.0133493402972817	-0.86195350671187
46	0.46	-0.0146390122827142	-0.86195350671187
47	0.47	-0.0146390122827142	-0.860663834726438
48	0.48	-0.0146390122827142	-0.86195350671187
49	0.49	-0.0146390122827142	-0.86195350671187
50	0.5	-0.0133493402972817	-0.860663834726438
51	0.51	-0.0146390122827142	-0.860663834726438
52	0.52	-0.0133493402972817	-0.860663834726438
53	0.53	-0.0120596683118492	-0.860663834726438
54	0.54	-0.0133493402972817	-0.86195350671187
55	0.55	-0.0133493402972817	-0.86195350671187
56	0.56	-0.0133493402972817	-0.86195350671187
57	0.57	-0.0120596683118492	-0.860663834726438
58	0.58	-0.0133493402972817	-0.86195350671187
59	0.59	-0.0146390122827142	-0.86195350671187
60	0.6	-0.0133493402972817	-0.860663834726438
61	0.61	-0.0146390122827142	-0.860663834726438
62	0.62	-0.0133493402972817	-0.86195350671187
63	0.63	-0.0120596683118492	-0.86195350671187
64	0.64	-0.0133493402972817	-0.860663834726438
65	0.65	-0.0120596683118492	-0.86195350671187
66	0.66	-0.0133493402972817	-0.860663834726438
67	0.67	-0.0146390122827142	-0.86195350671187
68	0.68	-0.0133493402972817	-0.86195350671187
69	0.69	-0.0146390122827142	-0.860663834726438
70	0.7	-0.0133493402972817	-0.86195350671187
71	0.71	-0.0133493402972817	-0.86195350671187
72	0.72	-0.0146390122827142	-0.860663834726438
73	0.73	-0.0133493402972817	-0.86195350671187
74	0.74	-0.0146390122827142	-0.86195350671187
75	0.75	-0.0133493402972817	-0.86195350671187
76	0.76	-0.0133493402972817	-0.86195350671187
77	0.77	-0.0146390122827142	-0.860663834726438
78	0.78	-0.0133493402972817	-0.860663834726438
79	0.79	-0.0133493402972817	-0.86195350671187
80	0.8	-0.0133493402972817	-0.86195350671187
81	0.81	-0.0133493402972817	-0.86195350671187
82	0.82	-0.0133493402972817	-0.86195350671187
83	0.83	-0.0146390122827142	-0.86195350671187
84	0.84	-0.0133493402972817	-0.86195350671187
85	0.85	-0.0133493402972817	-0.86195350671187
86	0.86	-0.0146390122827142	-0.86195350671187
87	0.87	-0.0146390122827142	-0.86195350671187
88	0.88	-0.0146390122827142	-0.86195350671187
89	0.89	-0.0159286842681468	-0.86195350671187
90	0.9	-0.0146390122827142	-0.86195350671187
91	0.91	-0.0159286842681468	-0.860663834726438
92	0.92	-0.0159286842681468	-0.860663834726438
93	0.93	-0.0146390122827142	-0.860663834726438
94	0.94	-0.0159286842681468	-0.860663834726438
95	0.95	-0.0159286842681468	-0.860663834726438
96	0.96	-0.0146390122827142	-0.860663834726438
97	0.97	-0.0146390122827142	-0.860663834726438
98	0.98	-0.0146390122827142	-0.860663834726438
99	0.99	-0.0159286842681468	-0.860663834726438
100	1	-0.0146390122827142	-0.860663834726438
101	1.01	-0.0159286842681468	-0.859374162741005
102	1.02	-0.0159286842681468	-0.859374162741005
103	1.03	-0.0159286842681468	-0.859374162741005
104	1.04	-0.0146390122827142	-0.859374162741005
105	1.05	-0.0159286842681468	-0.859374162741005
106	1.06	-0.0159286842681468	-0.858084490755573
107	1.07	-0.0159286842681468	-0.859374162741005
108	1.08	-0.0159286842681468	-0.858084490755573
109	1.09	-0.0159286842681468	-0.858084490755573
110	1.1	-0.0159286842681468	-0.858084490755573
111	1.11	-0.0159286842681468	-0.858084490755573
112	1.12	-0.0146390122827142	-0.858084490755573
113	1.13	-0.0133493402972817	-0.85679481877014
114	1.14	-0.0159286842681468	-0.85679481877014
115	1.15	-0.0146390122827142	-0.85679481877014
116	1.16	-0.0159286842681468	-0.85679481877014
117	1.17	-0.0133493402972817	-0.855505146784708
118	1.18	-0.0146390122827142	-0.855505146784708
119	1.19	-0.0146390122827142	-0.855505146784708
120	1.2	-0.0146390122827142	-0.855505146784708
121	1.21	-0.0159286842681468	-0.855505146784708
