Number of measurement points: 7910
Sample Rate (Hz): 100
Low limit Ch0 (V): -10
Upper limit Ch0 (V): 10
Low limit Ch1 (V): -10
Upper limit Ch1 (V): 10

Index	Time[s]	Ch0[V]	Ch1[V]
0	0	-0.0133493402972817	-2.02265829360113
1	0.01	-0.0133493402972817	-2.02394796558656
2	0.02	-0.0133493402972817	-2.02265829360113
3	0.03	-0.0120596683118492	-2.02394796558656
4	0.04	-0.0120596683118492	-2.02265829360113
5	0.05	-0.0120596683118492	-2.02265829360113
6	0.06	-0.0120596683118492	-2.02265829360113
7	0.07	-0.0120596683118492	-2.02394796558656
8	0.08	-0.0133493402972817	-2.02394796558656
9	0.09	-0.0120596683118492	-2.02265829360113
10	0.1	-0.0120596683118492	-2.02265829360113
11	0.11	-0.0133493402972817	-2.02394796558656
12	0.12	-0.0120596683118492	-2.02394796558656
13	0.13	-0.0133493402972817	-2.02265829360113
14	0.14	-0.0107699963264167	-2.02265829360113
15	0.15	-0.0120596683118492	-2.02394796558656
16	0.16	-0.0120596683118492	-2.02265829360113
17	0.17	-0.0133493402972817	-2.02265829360113
18	0.18	-0.0133493402972817	-2.02265829360113
19	0.19	-0.0120596683118492	-2.02265829360113
20	0.2	-0.0120596683118492	-2.02394796558656
21	0.21	-0.0120596683118492	-2.02265829360113
22	0.22	-0.0133493402972817	-2.02394796558656
23	0.23	-0.0133493402972817	-2.02394796558656
24	0.24	-0.0120596683118492	-2.02265829360113
25	0.25	-0.0133493402972817	-2.02265829360113
26	0.26	-0.0120596683118492	-2.02394796558656
27	0.27	-0.0133493402972817	-2.02265829360113
28	0.28	-0.0133493402972817	-2.02265829360113
29	0.29	-0.0120596683118492	-2.02265829360113
30	0.3	-0.0133493402972817	-2.02265829360113
31	0.31	-0.0120596683118492	-2.02394796558656
32	0.32	-0.0120596683118492	-2.02394796558656
33	0.33	-0.0120596683118492	-2.02394796558656
34	0.34	-0.0133493402972817	-2.02265829360113
35	0.35	-0.0120596683118492	-2.02265829360113
36	0.36	-0.0120596683118492	-2.02265829360113
37	0.37	-0.0120596683118492	-2.02265829360113
38	0.38	-0.0133493402972817	-2.02265829360113
39	0.39	-0.0133493402972817	-2.02265829360113
40	0.4	-0.0133493402972817	-2.02394796558656
41	0.41	-0.0107699963264167	-2.02394796558656
42	0.42	-0.0133493402972817	-2.02394796558656
43	0.43	-0.0133493402972817	-2.02394796558656
44	0.44	-0.0133493402972817	-2.02265829360113
45	0.45	-0.0120596683118492	-2.02394796558656
46	0.46	-0.0120596683118492	-2.02265829360113
47	0.47	-0.0120596683118492	-2.02265829360113
48	0.48	-0.0133493402972817	-2.02265829360113
49	0.49	-0.0120596683118492	-2.02394796558656
50	0.5	-0.0120596683118492	-2.02265829360113
51	0.51	-0.0120596683118492	-2.02394796558656
52	0.52	-0.0133493402972817	-2.02394796558656
53	0.53	-0.0133493402972817	-2.02265829360113
54	0.54	-0.0133493402972817	-2.02265829360113
55	0.55	-0.0120596683118492	-2.02394796558656
56	0.56	-0.0133493402972817	-2.02265829360113
57	0.57	-0.0120596683118492	-2.02394796558656
58	0.58	-0.0133493402972817	-2.02394796558656
59	0.59	-0.0120596683118492	-2.02394796558656
60	0.6	-0.0133493402972817	-2.02394796558656
